TopicId,Top10Words
36,0.114*"plot" + 0.047*"line" + 0.034*"graph" + 0.033*"curve" + 0.032*"show" + 0.029*"point" + 0.018*"red" + 0.016*"histogram" + 0.015*"look" + 0.014*"bin"
37,0.296*"b" + 0.155*"c" + 0.058*"product" + 0.049*"user" + 0.042*"customer" + 0.027*"sale" + 0.012*"purchase" + 0.012*"store" + 0.011*"house" + 0.008*"food"
38,0.140*"cluster" + 0.100*"distance" + 0.027*"similarity" + 0.024*"metric" + 0.024*"point" + 0.022*"algorithm" + 0.021*"k-means" + 0.021*"use" + 0.020*"k" + 0.019*"measure"
39,0.147*"group" + 0.095*"difference" + 0.085*"two" + 0.056*"compare" + 0.053*"different" + 0.035*"test" + 0.026*"pair" + 0.025*"comparison" + 0.023*"t-test" + 0.019*"use"
40,0.369*"sample" + 0.125*"size" + 0.070*"population" + 0.034*"large" + 0.032*"small" + 0.023*"power" + 0.022*"n" + 0.016*"number" + 0.011*"observation" + 0.006*"replacement"
41,0.068*"likelihood" + 0.062*"prior" + 0.061*"parameter" + 0.059*"bayesian" + 0.041*"posterior" + 0.031*"distribution" + 0.019*"maximum" + 0.016*"use" + 0.016*"bayes" + 0.016*"estimate"
42,0.168*"word" + 0.054*"frequency" + 0.053*"text" + 0.041*"document" + 0.033*"topic" + 0.032*"sentence" + 0.029*"garch" + 0.020*"embed" + 0.019*"letter" + 0.018*"language"
43,0.026*"would" + 0.019*"one" + 0.019*"use" + 0.015*"question" + 0.013*"make" + 0.013*"like" + 0.011*"could" + 0.010*"also" + 0.010*"example" + 0.010*"way"
44,0.249*"test" + 0.062*"hypothesis" + 0.038*"null" + 0.036*"p-value" + 0.024*"significance" + 0.021*"reject" + 0.020*"significant" + 0.020*"statistic" + 0.016*"p-values" + 0.016*"p"
45,0.244*"distribution" + 0.063*"normal" + 0.031*"density" + 0.024*"probability" + 0.022*"distribute" + 0.020*"function" + 0.019*"random" + 0.019*"variable" + 0.016*"pdf" + 0.015*"gaussian"
46,0.131*"correlation" + 0.055*"variable" + 0.042*"residual" + 0.038*"log" + 0.032*"assumption" + 0.032*"correlate" + 0.031*"transformation" + 0.026*"transform" + 0.025*"relationship" + 0.017*"independent"
47,0.028*"statistic" + 0.019*"definition" + 0.015*"measure" + 0.013*"say" + 0.011*"true" + 0.011*"term" + 0.011*"example" + 0.011*"define" + 0.011*"call" + 0.010*"theory"
48,0.085*"negative" + 0.076*"positive" + 0.034*"threshold" + 0.027*"accuracy" + 0.027*"precision" + 0.025*"auc" + 0.024*"false" + 0.021*"true" + 0.020*"metric" + 0.019*"roc"
49,0.388*"value" + 0.044*"zero" + 0.031*"low" + 0.029*"range" + 0.027*"median" + 0.027*"expect" + 0.024*"mean" + 0.023*"high" + 0.019*"large" + 0.019*"bound"
